Timestamp,Luminosidade_Media,Luminosidade_Min,Luminosidade_Max
01-09-2025 18:55:01,163.42,163,164
01-09-2025 18:55:11,163.50,163,164
01-09-2025 18:55:21,163.50,163,164
01-09-2025 18:55:31,163.42,163,164
01-09-2025 18:55:41,163.42,163,164
01-09-2025 18:55:51,163.58,163,164
01-09-2025 18:56:01,163.67,163,164
01-09-2025 18:56:11,163.75,163,164
01-09-2025 18:56:21,163.67,163,164
01-09-2025 18:56:32,163.83,163,164
01-09-2025 18:56:42,163.83,163,164
01-09-2025 18:56:52,163.75,163,164
01-09-2025 18:57:02,163.83,163,164
01-09-2025 18:57:12,163.92,163,164
01-09-2025 18:57:22,163.83,163,164
01-09-2025 18:57:32,163.58,163,164
01-09-2025 18:57:42,163.42,163,164
01-09-2025 18:57:52,163.58,163,164
01-09-2025 18:58:02,163.83,163,164
01-09-2025 18:58:12,163.25,163,164
01-09-2025 18:58:22,163.67,163,164
01-09-2025 18:58:32,163.67,163,164
01-09-2025 18:58:42,163.67,163,164
01-09-2025 18:58:52,163.58,163,164
01-09-2025 18:59:02,163.58,163,164
01-09-2025 18:59:12,163.67,163,164
01-09-2025 18:59:22,163.67,163,164
01-09-2025 18:59:32,162.75,158,164
01-09-2025 18:59:42,163.42,162,164
01-09-2025 18:59:52,163.83,163,164
01-09-2025 19:00:02,163.92,163,164
01-09-2025 19:00:12,163.75,163,164
01-09-2025 19:00:22,163.58,163,164
01-09-2025 19:00:32,163.67,163,164
01-09-2025 19:00:42,163.83,163,164
01-09-2025 19:00:52,163.67,163,164
01-09-2025 19:01:02,163.67,163,164
01-09-2025 19:01:12,163.50,163,164
01-09-2025 19:01:22,163.75,163,164
01-09-2025 19:01:32,163.92,163,164
01-09-2025 19:01:42,163.83,163,164
01-09-2025 19:01:52,163.75,163,164
01-09-2025 19:02:02,163.92,163,164
01-09-2025 19:02:12,163.92,163,164
01-09-2025 19:02:22,163.83,163,164
01-09-2025 19:02:32,163.92,163,164
01-09-2025 19:02:42,163.92,163,164
01-09-2025 19:02:52,163.92,163,164
01-09-2025 19:03:02,164.00,164,164
01-09-2025 19:03:12,163.83,163,164
01-09-2025 19:03:22,163.42,162,164
01-09-2025 19:03:32,163.00,162,164
01-09-2025 19:03:42,163.58,163,164
01-09-2025 19:03:52,164.00,164,164
01-09-2025 19:04:02,163.92,163,164
01-09-2025 19:04:12,164.00,164,164
01-09-2025 19:04:22,163.92,163,164
01-09-2025 19:04:32,163.50,163,164
01-09-2025 19:04:42,93.33,-1,163
01-09-2025 19:04:52,62.25,-1,165
01-09-2025 19:05:02,164.50,164,165
01-09-2025 19:05:12,163.50,163,164
01-09-2025 19:05:22,162.33,157,163
01-09-2025 19:05:32,163.42,163,164
01-09-2025 19:05:42,163.42,163,164
01-09-2025 19:05:52,163.25,163,164
01-09-2025 19:06:02,26.33,-1,163
01-09-2025 19:06:12,-1.00,-1,-1
01-09-2025 19:06:22,54.33,-1,166
01-09-2025 19:06:32,161.92,125,166
01-09-2025 19:06:42,164.75,164,166
01-09-2025 19:06:52,164.33,164,165
01-09-2025 19:07:02,164.33,164,165
01-09-2025 19:07:12,164.50,164,165
01-09-2025 19:07:22,164.33,164,165
01-09-2025 19:07:33,164.25,164,165
01-09-2025 19:07:43,164.17,164,165
01-09-2025 19:07:53,164.00,164,164
01-09-2025 19:08:03,163.42,163,164
01-09-2025 19:08:13,163.58,163,164
01-09-2025 19:08:23,163.67,163,164
01-09-2025 19:08:33,163.58,163,164
01-09-2025 19:08:43,163.75,163,164
01-09-2025 19:08:53,163.25,163,164
01-09-2025 19:09:03,163.08,163,164
01-09-2025 19:09:13,163.08,163,164
01-09-2025 19:09:23,163.17,163,164
01-09-2025 19:09:33,163.25,163,164
01-09-2025 19:09:43,163.08,163,164
01-09-2025 19:09:53,162.92,162,163
01-09-2025 19:10:03,163.25,163,164
01-09-2025 19:10:13,163.08,163,164
01-09-2025 19:10:23,162.83,162,163
01-09-2025 19:10:33,162.92,162,164
01-09-2025 19:10:43,163.08,163,164
01-09-2025 19:10:53,163.08,163,164
01-09-2025 19:11:03,163.00,163,163
01-09-2025 19:11:13,162.83,162,163
01-09-2025 19:11:23,162.92,162,164
01-09-2025 19:11:33,162.92,162,163
01-09-2025 19:11:43,162.75,162,163
01-09-2025 19:11:53,162.75,162,164
01-09-2025 19:12:03,162.42,162,163
01-09-2025 19:12:13,162.75,162,163
01-09-2025 19:12:30,162.67,162,163
01-09-2025 19:12:40,162.67,162,163
01-09-2025 19:14:08,162.75,162,163
01-09-2025 19:14:18,163.17,163,164
01-09-2025 19:14:28,163.00,162,164
01-09-2025 19:14:38,163.17,163,164
01-09-2025 19:14:48,163.17,163,164
01-09-2025 19:14:58,163.00,163,163
01-09-2025 19:15:08,163.08,162,164
01-09-2025 19:15:18,163.00,163,163
01-09-2025 19:15:28,163.17,163,164
01-09-2025 19:15:38,163.00,163,163
01-09-2025 19:15:48,163.08,163,164
01-09-2025 19:15:58,163.00,162,164
01-09-2025 19:16:08,162.83,162,163
01-09-2025 19:16:18,162.83,162,163
01-09-2025 19:16:28,163.00,163,163
01-09-2025 19:16:38,162.58,162,163
01-09-2025 19:17:51,162.58,162,163
01-09-2025 19:18:01,162.75,162,163
01-09-2025 19:18:11,163.00,163,163
01-09-2025 19:18:21,163.00,163,163
01-09-2025 19:18:31,157.00,90,164
01-09-2025 19:18:41,47.42,-1,163
01-09-2025 19:18:51,102.42,-1,163
01-09-2025 19:19:01,154.92,73,164
01-09-2025 19:19:11,163.33,163,164
01-09-2025 19:19:21,163.67,163,164
01-09-2025 19:19:31,163.67,163,164
01-09-2025 19:19:41,163.33,163,164
01-09-2025 19:19:51,163.58,163,164
01-09-2025 19:20:01,163.58,163,164
01-09-2025 19:20:11,163.17,163,164
01-09-2025 19:20:22,163.25,163,164
01-09-2025 19:20:32,163.25,163,164
01-09-2025 19:20:42,163.25,163,164
01-09-2025 19:20:52,163.17,163,164
01-09-2025 19:21:02,163.42,163,164
01-09-2025 19:21:12,162.92,162,164
01-09-2025 19:21:22,163.00,162,164
01-09-2025 19:21:37,163.33,163,164
01-09-2025 19:21:47,163.33,163,164
01-09-2025 19:21:57,163.42,163,164
01-09-2025 19:22:07,163.33,163,164
01-09-2025 19:22:17,163.33,163,164
01-09-2025 19:22:27,163.50,163,164
01-09-2025 19:22:37,163.83,163,164
01-09-2025 19:22:47,163.83,163,164
01-09-2025 19:22:57,163.58,163,164
01-09-2025 19:23:07,163.33,163,164
01-09-2025 19:23:17,163.50,163,164
01-09-2025 19:23:27,163.33,163,164
01-09-2025 19:23:37,163.33,163,164
01-09-2025 19:23:47,163.50,163,164
01-09-2025 19:23:57,163.67,163,164
01-09-2025 19:24:07,163.42,163,164
01-09-2025 19:24:17,163.50,163,164
01-09-2025 19:24:27,163.25,163,164
01-09-2025 19:24:37,163.58,163,164
01-09-2025 19:24:47,163.25,163,164
01-09-2025 19:24:57,163.33,163,164
01-09-2025 19:25:07,163.50,163,164
01-09-2025 19:25:17,163.50,163,164
01-09-2025 19:25:27,163.58,163,164
01-09-2025 19:25:37,163.33,163,164
01-09-2025 19:25:47,163.33,163,164
01-09-2025 19:25:57,163.25,163,164
01-09-2025 19:26:07,163.33,163,164
01-09-2025 19:26:17,163.67,163,164
01-09-2025 19:26:27,163.50,163,164
01-09-2025 19:26:37,163.50,163,164
01-09-2025 19:26:47,163.67,163,164
01-09-2025 19:26:57,163.67,163,164
01-09-2025 19:27:07,163.25,163,164
01-09-2025 19:27:17,163.33,163,164
01-09-2025 19:27:27,163.42,163,164
01-09-2025 19:27:37,163.50,163,164
01-09-2025 19:27:47,163.17,163,164
01-09-2025 19:27:57,163.50,163,164
01-09-2025 19:28:07,163.33,163,164
01-09-2025 19:28:17,163.58,163,164
01-09-2025 19:28:27,163.58,163,164
01-09-2025 19:28:37,163.17,163,164
01-09-2025 19:28:47,163.33,163,164
01-09-2025 19:28:58,163.58,163,164
01-09-2025 19:29:08,163.75,163,164
01-09-2025 19:29:18,163.50,163,164
01-09-2025 19:29:28,163.75,163,164
01-09-2025 19:29:38,163.25,163,164
01-09-2025 19:29:48,163.50,163,164
01-09-2025 19:29:58,163.33,163,164
01-09-2025 19:30:08,163.67,163,164
01-09-2025 19:30:18,163.50,163,164
01-09-2025 19:30:28,163.58,163,164
01-09-2025 19:30:38,163.67,163,164
01-09-2025 19:30:48,163.33,163,164
01-09-2025 19:30:58,163.42,163,164
01-09-2025 19:31:08,163.25,163,164
01-09-2025 19:31:18,163.33,163,164
01-09-2025 19:31:28,163.58,163,164
01-09-2025 19:31:38,163.25,163,164
01-09-2025 19:31:48,163.25,163,164
01-09-2025 19:31:58,163.42,163,164
01-09-2025 19:32:08,163.25,163,164
01-09-2025 19:32:18,163.25,163,164
01-09-2025 19:32:28,163.67,163,164
01-09-2025 19:32:38,163.58,163,164
01-09-2025 19:32:48,163.17,163,164
01-09-2025 19:32:58,163.42,163,164
01-09-2025 19:33:08,163.33,163,164
01-09-2025 19:33:18,163.33,163,164
01-09-2025 19:33:28,163.50,163,164
01-09-2025 19:33:38,163.33,163,164
01-09-2025 19:33:48,163.58,163,164
01-09-2025 19:33:58,163.42,163,164
01-09-2025 19:34:08,163.42,163,164
01-09-2025 19:34:18,163.42,163,164
01-09-2025 19:34:28,80.50,-1,164
01-09-2025 19:34:38,73.33,-1,165
01-09-2025 19:34:48,163.92,163,165
01-09-2025 19:34:58,163.42,163,164
01-09-2025 19:35:08,163.25,163,164
01-09-2025 19:35:18,163.42,163,164
01-09-2025 19:35:28,163.33,163,164
01-09-2025 19:35:38,163.17,163,164
01-09-2025 19:35:48,163.08,163,164
01-09-2025 19:35:58,162.92,162,163
01-09-2025 19:36:08,162.92,162,163
01-09-2025 19:36:18,160.08,154,163
01-09-2025 19:36:28,136.58,21,165
01-09-2025 19:36:38,150.75,21,163
01-09-2025 19:36:48,163.33,163,164
01-09-2025 19:36:58,163.33,163,164
01-09-2025 19:37:08,163.33,163,164
01-09-2025 19:37:18,163.33,163,164
01-09-2025 19:37:28,163.33,163,164
01-09-2025 19:37:38,163.17,163,164
01-09-2025 19:37:48,163.25,163,164
01-09-2025 19:37:58,163.58,163,164
01-09-2025 19:38:09,163.25,163,164
01-09-2025 19:38:19,163.25,163,164
01-09-2025 19:38:29,163.08,163,164
01-09-2025 19:38:39,163.08,163,164
01-09-2025 19:38:49,163.17,163,164
01-09-2025 19:38:59,163.08,163,164
01-09-2025 19:39:09,163.17,163,164
01-09-2025 19:39:19,163.33,163,164
01-09-2025 19:39:29,163.25,163,164
01-09-2025 19:39:39,163.42,163,164
01-09-2025 19:39:49,163.17,163,164
01-09-2025 19:39:59,163.08,163,164
01-09-2025 19:40:09,163.08,163,164
01-09-2025 19:40:19,163.08,163,164
01-09-2025 19:40:29,163.08,163,164
01-09-2025 19:40:39,162.83,162,163
01-09-2025 19:40:49,162.33,162,163
01-09-2025 19:40:59,162.75,162,164
01-09-2025 19:41:09,163.17,163,164
01-09-2025 19:41:19,163.33,163,164
01-09-2025 19:41:29,162.50,162,163
01-09-2025 19:41:39,162.42,162,163
01-09-2025 19:41:49,162.83,162,164
01-09-2025 19:41:59,163.17,163,164
01-09-2025 19:42:09,163.08,163,164
01-09-2025 19:42:19,163.00,163,163
01-09-2025 19:42:29,163.17,163,164
01-09-2025 19:42:39,162.67,162,163
01-09-2025 19:42:49,162.75,162,163
01-09-2025 19:42:59,162.92,162,163
01-09-2025 19:43:09,162.92,162,163
01-09-2025 19:43:19,162.83,162,163
01-09-2025 19:43:29,162.92,162,164
01-09-2025 19:43:39,163.00,163,163
01-09-2025 19:43:49,163.00,163,163
01-09-2025 19:43:59,162.83,162,163
01-09-2025 19:44:09,162.75,162,163
01-09-2025 19:44:19,163.08,162,164
01-09-2025 19:44:29,163.08,163,164
01-09-2025 19:44:39,163.17,163,164
01-09-2025 19:44:49,163.08,163,164
01-09-2025 19:44:59,163.25,163,164
01-09-2025 19:45:09,163.25,163,164
01-09-2025 19:45:19,163.50,163,164
01-09-2025 19:45:29,163.42,163,164
01-09-2025 19:45:39,163.25,163,164
01-09-2025 19:45:49,163.08,163,164
01-09-2025 19:45:59,163.33,163,164
01-09-2025 19:46:09,162.83,162,164
01-09-2025 19:46:19,163.75,163,164
01-09-2025 19:46:29,163.25,163,164
01-09-2025 19:46:39,163.33,163,164
01-09-2025 19:46:49,163.08,163,164
01-09-2025 19:47:00,163.33,163,164
01-09-2025 19:47:10,163.17,163,164
01-09-2025 19:47:20,162.08,155,164
01-09-2025 19:47:30,164.00,164,164
01-09-2025 19:47:40,164.00,164,164
01-09-2025 19:47:50,164.00,164,164
01-09-2025 19:48:00,164.00,164,164
01-09-2025 19:48:10,164.25,164,165
01-09-2025 19:48:20,164.33,164,165
01-09-2025 19:48:30,164.17,164,165
01-09-2025 19:48:40,164.33,164,165
01-09-2025 19:48:50,164.33,164,165
01-09-2025 19:49:00,164.08,164,165
01-09-2025 19:49:10,164.17,164,165
01-09-2025 19:49:20,164.08,164,165
01-09-2025 19:49:30,164.00,164,164
01-09-2025 19:49:40,164.00,164,164
01-09-2025 19:49:50,164.00,164,164
01-09-2025 19:50:00,164.00,164,164
01-09-2025 19:50:10,163.75,163,164
01-09-2025 19:50:20,163.67,163,164
01-09-2025 19:50:30,164.00,164,164
01-09-2025 19:50:40,163.83,163,164
01-09-2025 19:50:50,163.92,163,164
01-09-2025 19:51:00,163.92,163,164
01-09-2025 19:51:10,164.00,164,164
01-09-2025 19:51:20,164.00,164,164
01-09-2025 19:51:30,163.67,163,164
01-09-2025 19:51:40,163.92,163,164
01-09-2025 19:51:50,163.92,163,164
01-09-2025 19:52:00,163.92,163,164
01-09-2025 19:52:10,164.00,163,165
01-09-2025 19:52:20,163.83,163,164
01-09-2025 19:52:30,163.67,163,164
01-09-2025 19:52:40,164.00,164,164
01-09-2025 19:52:50,163.92,163,164
01-09-2025 19:53:00,164.00,164,164
01-09-2025 19:53:10,164.00,164,164
01-09-2025 19:53:20,163.75,163,164
01-09-2025 19:53:30,163.83,163,164
01-09-2025 19:53:40,163.83,163,164
01-09-2025 19:53:50,163.83,163,164
01-09-2025 19:54:00,163.92,163,164
01-09-2025 19:54:10,163.83,163,164
01-09-2025 19:54:20,163.83,163,164
01-09-2025 19:54:30,163.92,163,164
01-09-2025 19:54:40,164.00,164,164
01-09-2025 19:54:50,163.75,163,164
01-09-2025 19:55:00,164.00,164,164
01-09-2025 19:55:10,163.92,163,164
01-09-2025 19:55:20,163.92,163,164
01-09-2025 19:55:30,163.83,163,164
01-09-2025 19:55:40,163.83,163,164
01-09-2025 19:55:51,163.92,163,164
01-09-2025 19:56:01,164.00,164,164
01-09-2025 19:56:11,164.00,164,164
01-09-2025 19:56:21,164.00,164,164
01-09-2025 19:56:31,163.92,163,164
01-09-2025 19:56:41,163.92,163,164
01-09-2025 19:56:51,163.92,163,164
01-09-2025 19:57:01,163.83,163,164
01-09-2025 19:57:11,163.83,163,164
01-09-2025 19:57:21,163.92,163,164
01-09-2025 19:57:31,163.75,163,164
01-09-2025 19:57:41,163.75,163,164
01-09-2025 19:57:51,164.00,164,164
01-09-2025 19:58:01,163.92,163,164
01-09-2025 19:58:11,163.75,163,164
01-09-2025 19:58:21,163.83,163,164
01-09-2025 19:58:31,163.67,163,164
01-09-2025 19:58:41,163.83,163,164
01-09-2025 19:58:51,163.92,163,164
01-09-2025 19:59:01,163.83,163,164
01-09-2025 19:59:11,163.83,163,164
01-09-2025 19:59:21,163.92,163,164
01-09-2025 19:59:31,163.92,163,164
01-09-2025 19:59:41,163.92,163,164
01-09-2025 19:59:51,163.92,163,164
01-09-2025 20:00:01,163.92,163,164
01-09-2025 20:00:11,163.67,163,164
01-09-2025 20:00:21,163.67,163,164
01-09-2025 20:00:31,163.67,163,164
01-09-2025 20:00:41,163.58,163,164
01-09-2025 20:00:51,163.75,163,164
01-09-2025 20:01:01,163.75,163,164
01-09-2025 20:01:11,163.92,163,164
01-09-2025 20:01:21,163.75,163,164
01-09-2025 20:01:31,163.75,163,164
01-09-2025 20:01:41,163.75,163,164
01-09-2025 20:01:51,163.92,163,164
01-09-2025 20:02:01,163.92,163,164
01-09-2025 20:02:11,163.92,163,164
01-09-2025 20:02:21,163.92,163,164
01-09-2025 20:02:31,163.58,163,164
01-09-2025 20:02:41,163.75,163,164
01-09-2025 20:02:51,163.75,163,164
01-09-2025 20:03:01,163.83,163,164
01-09-2025 20:03:11,163.83,163,164
01-09-2025 20:03:21,164.00,164,164
01-09-2025 20:03:31,163.92,163,164
01-09-2025 20:03:41,164.00,164,164
01-09-2025 20:03:51,163.83,163,164
01-09-2025 20:04:01,163.92,163,164
01-09-2025 20:04:11,163.92,163,164
01-09-2025 20:04:22,164.00,164,164
01-09-2025 20:04:32,163.67,163,164
01-09-2025 20:04:42,163.58,163,164
01-09-2025 20:04:52,163.75,163,164
01-09-2025 20:05:02,164.08,164,165
